tweet,cleaned_tweet,keywords
Delta 8 edibles are surprisingly nice. Tried my first one yesterday and got like 13 hours of sleep 10/10.,delta  edibles are surprisingly nice tried my first one yesterday and got like  hours of sleep ,"delta, edibles, got, hours, like, nice, sleep, surprisingly, tried, yesterday"
" Migraines are on every states list of excepted for medical marijuana. 
I checked. I have a migraine every day. Maybe not the entire day, but most of it. A high quality CBD or my favorite, Delta 8. I get them in a tincture and capsules. It even works for me if it's in a candy bar", migraines are on every states list of excepted for medical marijuana i checked i have a migraine every day maybe not the entire day but most of it a high quality cbd or my favorite delta  i get them in a tincture and capsules it even works for me if its in a candy bar,"bar, candy, capsules, cbd, checked, day, delta, entire, excepted, favorite, high, list, marijuana, maybe, medical, migraine, migraines, quality, states, tincture, works"
" what a very chill and relaxing monday night i’m about to have. just me, netflix, my intrusive thoughts and delta 8 vape.", what a very chill and relaxing monday night im about to have just me netflix my intrusive thoughts and delta  vape,"chill, delta, im, intrusive, just, monday, netflix, night, relaxing, thoughts, vape"
Tell me you don’t smoke weed without telling me you actually smoke weed…and it’s these fucks out here smoking/eating/drinking delta 8 like it’s the best thing since sliced bread Face with tears of joyFace with tears of joyFace with tears of joy we get access to medical weed at a legal level & ppl wanna go backwards.,tell me you dont smoke weed without telling me you actually smoke weedand its these fucks out here smokingeatingdrinking delta  like its the best thing since sliced bread face with tears of joyface with tears of joyface with tears of joy we get access to medical weed at a legal level  ppl wanna go backwards,"access, actually, backwards, best, bread, delta, dont, face, fucks, joy, joyface, legal, level, like, medical, ppl, sliced, smoke, smokingeatingdrinking, tears, tell, telling, thing, wanna, weed, weedand"
The wildest thing on the planet to me is gas stations in Ohio selling CBD and Delta-8 flower/prerolls/cartridges but Delta-9 THC being medicinal only. Also who regulates the Delta-8 products?,the wildest thing on the planet to me is gas stations in ohio selling cbd and delta flowerprerollscartridges but delta thc being medicinal only also who regulates the delta products,"cbd, delta, flowerprerollscartridges, gas, medicinal, ohio, planet, products, regulates, selling, stations, thc, thing, wildest"
Them delta 8 edibles at the smoke shop? Ain’t no mf joke,them delta  edibles at the smoke shop aint no mf joke,"aint, delta, edibles, joke, mf, shop, smoke"
local headshop has kratom with delta 8 mixed in. Someone stop them.,local headshop has kratom with delta  mixed in someone stop them,"delta, headshop, kratom, local, mixed, stop"
There’s a coffee shop by my apartment that sells delta 8 infused coffee and it’s the best thing that’s ever happened to me,theres a coffee shop by my apartment that sells delta  infused coffee and its the best thing thats ever happened to me,"apartment, best, coffee, delta, happened, infused, sells, shop, thats, theres, thing"
I work at an adult store where we sell Delta 8 products and I bought a seltzer water with 25mg in it and good god I was high-adjacent for like 5 hours. Like almost TOO mellow. It kinda fucked me up lol,i work at an adult store where we sell delta  products and i bought a seltzer water with mg in it and good god i was highadjacent for like  hours like almost too mellow it kinda fucked me up lol,"adult, bought, delta, fucked, god, good, highadjacent, hours, kinda, like, lol, mellow, mg, products, sell, seltzer, store, water, work"
I’m smoking delta 8 right now. I feel the high but I like feeling more high lmao. It’s like weed that won’t get there for me. I be annoyed.,im smoking delta  right now i feel the high but i like feeling more high lmao its like weed that wont get there for me i be annoyed,"annoyed, delta, feel, feeling, high, im, like, lmao, right, smoking, weed, wont"
Delta 8 doesn’t do anything for me anymore. It did at first but I don’t really smoke it anymore. The tincture hits sometimes but I have to get the dose right. I’m excited for thc o.,delta  doesnt do anything for me anymore it did at first but i dont really smoke it anymore the tincture hits sometimes but i have to get the dose right im excited for thc o,"anymore, delta, did, doesnt, dont, dose, excited, hits, im, really, right, smoke, thc, tincture"
" Feds warn about delta-8 THC (Newsletter: September 15, 2021) -", feds warn about delta thc newsletter september   ,"delta, feds, newsletter, september, thc, warn"
" Just got new Botox, cruising around the city listening to cherry blossom by kacey, vaping delta 8….feeling like who I was meant to be in this moment", just got new botox cruising around the city listening to cherry blossom by kacey vaping delta feeling like who i was meant to be in this moment,"blossom, botox, cherry, city, cruising, delta, feeling, got, just, kacey, like, listening, meant, moment, new, vaping"
" OC Health Care Agency Updates: Flu vaccinations available, COVID vaccine booster, costly COVID-19 hospitalizations of unvaccinated, Delta-8 THC Health Advisory -", oc health care agency updates flu vaccinations available covid vaccine booster costly covid hospitalizations of unvaccinated delta thc health advisory ,"advisory, agency, available, booster, care, costly, covid, delta, flu, health, hospitalizations, oc, thc, unvaccinated, updates, vaccinations, vaccine"
" Lets look at this clearly... 

Delta 8 keeps me up and going until I crash. I only need 5 hours of sleep right now to maintain.

Clearly you want to be entertained...

Do your job & spread this shit. I work as hard to keep this shit interesting for you as you do in your 15hr days", lets look at this clearly delta  keeps me up and going until i crash i only need  hours of sleep right now to maintainclearly you want to be entertaineddo your job  spread this shit i work as hard to keep this shit interesting for you as you do in your hr days,"clearly, crash, days, delta, entertaineddo, going, hard, hours, hr, interesting, job, keeps, lets, look, maintainclearly, need, right, shit, sleep, spread, want, work"
Delta 8 kinda gives me indigestion,delta  kinda gives me indigestion,"delta, gives, indigestion, kinda"
" Delta 8 may not be real weed, but it does a good job tricking your brain that it is.
", delta  may not be real weed but it does a good job tricking your brain that it is,"brain, delta, does, good, job, real, tricking, weed"
Delta 8 ain’t nothing but legalized mid,delta  aint nothing but legalized mid,"aint, delta, legalized, mid"
Delta 8 got me fried,delta  got me fried,"delta, fried, got"
" I really love the Delta 8 TruPod. It helps me as much as CBD when I’m really sick, like today. #ReliefNaturally #ad #Delta8 #TruPod 
@Trulieve", i really love the delta  trupod it helps me as much as cbd when im really sick like today reliefnaturally ad delta trupod trulieve,"ad, cbd, delta, helps, im, like, love, really, reliefnaturally, sick, today, trulieve, trupod"
that delta 8 shit hits,that delta  shit hits,"delta, hits, shit"
I have delta 8 edibles Bc they’re legal here and they won’t go out of my sight. I would not be giving that shit away,i have delta  edibles bc theyre legal here and they wont go out of my sight i would not be giving that shit away,"away, bc, delta, edibles, giving, legal, shit, sight, theyre, wont"
Them Delta-8’s hitting huh lol,them deltas hitting huh lol,"deltas, hitting, huh, lol"
delta 8 mids,delta  mids,"delta, mids"
Noone is giving away free edibles to kids lol even the delta 8 shits are expensive.,noone is giving away free edibles to kids lol even the delta  shits are expensive,"away, delta, edibles, expensive, free, giving, kids, lol, shits"
I have really enjoyed the delta-8 disposable vapes. I may have to try this out!,i have really enjoyed the delta disposable vapes i may have to try this out,"delta, disposable, enjoyed, really, try, vapes"
" 7/Another way to put the point is this: Even for those who believe that prohibitions against individual consumption of cannabis are unwarranted, believing that the bad health effects are exaggerated and that this is about liberty oughta worry about Delta-8, because it is/7", another way to put the point is this even for those who believe that prohibitions against individual consumption of cannabis are unwarranted believing that the bad health effects are exaggerated and that this is about liberty oughta worry about delta because it is,"bad, believe, believing, cannabis, consumption, delta, effects, exaggerated, health, individual, liberty, oughta, point, prohibitions, unwarranted, way, worry"
Yea not high end but those in the pic are Delta 8 which is legal and will definitely get you high. Even if you are a weed smoker.,yea not high end but those in the pic are delta  which is legal and will definitely get you high even if you are a weed smoker,"definitely, delta, end, high, legal, pic, smoker, weed, yea"
i used to smoke hella loud back when i was like 17/18 i stopped smoking like that maybe now a few times a year. anyway i can’t be the only one who fucks w delta 8. that’s my shit,i used to smoke hella loud back when i was like  i stopped smoking like that maybe now a few times a year anyway i cant be the only one who fucks w delta  thats my shit,"delta, fucks, hella, like, loud, maybe, shit, smoke, smoking, stopped, thats, times, used, year"
have you tried delta 8? is legal and does mostly the same thing! you can get it in your local dispensary (Texas needs to get their shit togetehr),have you tried delta  is legal and does mostly the same thing you can get it in your local dispensary texas needs to get their shit togetehr,"delta, dispensary, does, legal, local, needs, shit, texas, thing, togetehr, tried"
" Kids shouldn't be eating random weed treats. You give them some bunk ass delta 8 shit and they're gonna grow up to be cops or some shit. I gotta check quality first. 

Like I'm not gonna be introducing kids to rap by playing them drake or some shit.", kids shouldnt be eating random weed treats you give them some bunk ass delta  shit and theyre gonna grow up to be cops or some shit i gotta check quality first like im not gonna be introducing kids to rap by playing them drake or some shit,"ass, bunk, check, cops, delta, drake, eating, gonna, gotta, grow, im, introducing, kids, like, playing, quality, random, rap, shit, shouldnt, theyre, treats, weed"
" NEW CDC HEALTH ADVISORY
delta-8 THC adverse effects in cannabis", new cdc health advisorydelta thc adverse effects in cannabis,"adverse, advisorydelta, cannabis, cdc, effects, health, new, thc"
damn i want edibles now! got some delta 8 last week and usually they are fine but this batch feels like some duds,damn i want edibles now got some delta  last week and usually they are fine but this batch feels like some duds,"batch, damn, delta, duds, edibles, feels, fine, got, like, usually, want, week"
Weekly Canna: Delta-8 THC Gets Unwanted Attention – The Paper.,weekly canna delta thc gets unwanted attention  the paper,"attention, canna, delta, gets, paper, thc, unwanted, weekly"
So…….. I was super skeptical about delta 8 but I was given one as a vape and all I have to say is holy shit……..,so i was super skeptical about delta  but i was given one as a vape and all i have to say is holy shit,"delta, given, holy, say, shit, skeptical, super, vape"
" I think the secret to taking road trips with your parents and aunts as an adult is a fun little mix of CBD and Delta-8 THC. How many mgs? Nobody knows.

I am c h i l l i n g", i think the secret to taking road trips with your parents and aunts as an adult is a fun little mix of cbd and delta thc how many mgs nobody knowsi am c h i l l i n g,"adult, aunts, cbd, delta, fun, knowsi, little, mgs, mix, parents, road, secret, taking, thc, think, trips"
I love delta 8,i love delta ,"delta, love"
" Hey everyone...
If your parent or grandparent takes CBD, make sure that when they go to get it, they actually get CBD and not Delta-8. My wife's stepmom learned the hard way.

Delta-8 is THC. It'll make you high. And if you're not used to that... OH LAWD.", hey everyoneif your parent or grandparent takes cbd make sure that when they go to get it they actually get cbd and not delta my wifes stepmom learned the hard waydelta is thc itll make you high and if youre not used to that oh lawd,"actually, cbd, delta, everyoneif, grandparent, hard, hey, high, itll, lawd, learned, make, oh, parent, stepmom, sure, takes, thc, used, waydelta, wifes, youre"
This delta 8 be hitting,this delta  be hitting,"delta, hitting"
using delta 8 and getting dangerously chill,using delta  and getting dangerously chill,"chill, dangerously, delta, getting, using"
Delta 8 dope,delta  dope,"delta, dope"
" In good news i found out that the reason that thc been sending me to eeby deeby is bc i have been taking like 50ish (if not more) mg of delta 8 if i take a full dropper of oil w the gummy

So it was my dumbass fault", in good news i found out that the reason that thc been sending me to eeby deeby is bc i have been taking like ish if not more mg of delta  if i take a full dropper of oil w the gummyso it was my dumbass fault,"bc, deeby, delta, dropper, dumbass, eeby, fault, good, gummyso, ish, like, mg, news, oil, reason, sending, taking, thc"
The FDA and CDC have issued warning about Delta-8 THC products.  We spoke to a hemp store worker about the benefits he sees and the precautions customers should take.  #delta8 #Hemp,the fda and cdc have issued warning about delta thc products  we spoke to a hemp store worker about the benefits he sees and the precautions customers should take  delta hemp,"benefits, cdc, customers, delta, fda, hemp, issued, precautions, products, sees, spoke, store, thc, warning, worker"
Anxiety levels still a bit high. Intense pain will do that. Just packed my full spectrum CBD & Delta 8 to take with me to BFs tonight. Will probably leave as soon as my laundry is dry...,anxiety levels still a bit high intense pain will do that just packed my full spectrum cbd  delta  to take with me to bfs tonight will probably leave as soon as my laundry is dry,"anxiety, bfs, bit, cbd, delta, dry, high, intense, just, laundry, leave, levels, packed, pain, probably, soon, spectrum, tonight"
" Delta-8 THC is legal in North Carolina and similar to marijuana.

But is it safe? 

Here’s my story:", delta thc is legal in north carolina and similar to marijuanabut is it safe heres my story,"carolina, delta, heres, legal, marijuanabut, north, safe, similar, story, thc"
FDA issues warnings on delta-8 THC https://thenewsyard.com/fda-issues-warnings-on-delta-8-thc/,fda issues warnings on delta thc ,"delta, fda, issues, thc, warnings"
" MOONWLKR was born out of the curiosity to push the boundaries of what is truly possible with Delta-8. By combining award-winning terpenes and natural flavors in unique, custom blends we explore new dimensions of taste, balance, and euphoria. https://bit.ly/3zUSD1V", moonwlkr was born out of the curiosity to push the boundaries of what is truly possible with delta by combining awardwinning terpenes and natural flavors in unique custom blends we explore new dimensions of taste balance and euphoria ,"awardwinning, balance, blends, born, boundaries, combining, curiosity, custom, delta, dimensions, euphoria, explore, flavors, moonwlkr, natural, new, possible, push, taste, terpenes, truly, unique"
Delta 8 gummies dont make me paranoid or anxious or zooted they legit just make me calm and pass out. It’s like the best aspects of ouid w/o the paranoia or being too high to even have a normal convo. I love this for me,delta  gummies dont make me paranoid or anxious or zooted they legit just make me calm and pass out its like the best aspects of ouid wo the paranoia or being too high to even have a normal convo i love this for me,"anxious, aspects, best, calm, convo, delta, dont, gummies, high, just, legit, like, love, make, normal, ouid, paranoia, paranoid, pass, wo, zooted"
I don’t think Delta-8 does anything for pot heads. In my experience lol it’s a waste of money.,i dont think delta does anything for pot heads in my experience lol its a waste of money,"delta, does, dont, experience, heads, lol, money, pot, think, waste"
I tried the Delta-10-THC just now. As far as potency(when compared to normal Delta-9-THC) it is about equal to Delta-8-THC. It's a more energizing feeling than Delta-8 though. The problem with the THC molecule variants is whether or not you can trust the quality control process.,i tried the deltathc just now as far as potencywhen compared to normal deltathc it is about equal to deltathc its a more energizing feeling than delta though the problem with the thc molecule variants is whether or not you can trust the quality control process,"compared, control, delta, deltathc, energizing, equal, far, feeling, just, molecule, normal, potencywhen, problem, process, quality, thc, tried, trust, variants"
The FDA is issuing warnings associated with delta-8 THC.,the fda is issuing warnings associated with delta thc,"associated, delta, fda, issuing, thc, warnings"
" What’s up with Delta 8 THC in NY? Despite government pushback, it remains popular", whats up with delta  thc in ny despite government pushback it remains popular,"delta, despite, government, ny, popular, pushback, remains, thc, whats"
" I didn't know they'd gone beyond Delta 8, which is a relatively straightforward synthesis from CBD & pretty much exclusively sold in prohibition states I'd imagine. Not sure what the motive for more complexity here would be lol
", i didnt know theyd gone beyond delta  which is a relatively straightforward synthesis from cbd  pretty much exclusively sold in prohibition states id imagine not sure what the motive for more complexity here would be lol,"cbd, complexity, delta, didnt, exclusively, gone, id, imagine, know, lol, motive, pretty, prohibition, relatively, sold, states, straightforward, sure, synthesis, theyd"
The delta 8 gummies have sunflower oil,the delta  gummies have sunflower oil,"delta, gummies, oil, sunflower"
" Delta 8 is lit personally when the plug cuts me or rips on me this is my wave.
Mainly cause this shit can last me 2 months if I go easy on it and don't smoke all day everyday lol", delta  is lit personally when the plug cuts me or rips on me this is my wavemainly cause this shit can last me  months if i go easy on it and dont smoke all day everyday lol,"cause, cuts, day, delta, dont, easy, everyday, lit, lol, months, personally, plug, rips, shit, smoke, wavemainly"
Delta-8’s 2018 Farm Bill Honeymoon May Be Slowly Coming to an End,deltas  farm bill honeymoon may be slowly coming to an end,"coming, deltas, end, farm, honeymoon, slowly"
hmmm delta 8 feels like boneless weed to me,hmmm delta  feels like boneless weed to me,"boneless, delta, feels, hmmm, like, weed"
Smokin like some Reggie SkullSkull I hit a fuckin delta 8 pack wood the other day immediately threw that shit out,smokin like some reggie skullskull i hit a fuckin delta  pack wood the other day immediately threw that shit out,"day, delta, fuckin, hit, immediately, like, pack, reggie, shit, skullskull, smokin, threw, wood"
" So here’s the lowdown. 

Delta-9 (Reg weed) is 0.9% THC
Delta-8 is 0.3% THC.

All pure. Amazing for anxiety, stress and low level pain.", so heres the lowdown delta reg weed is  thcdelta is  thcall pure amazing for anxiety stress and low level pain,"amazing, anxiety, delta, heres, level, low, lowdown, pain, pure, reg, stress, thcall, thcdelta, weed"
" I use a 1gm syringe from my medical dispensary for the regular THC.

I get my Delta 8 from a reputable online service. Strongly suggest you research it.

Basically-

Delta-9 0.9% THC (reg. weed)
Delta-8 0.3% THC

Perfect for anxiety and low grade pain", i use a gm syringe from my medical dispensary for the regular thci get my delta  from a reputable online service strongly suggest you research itbasicallydelta  thc reg weeddelta  thcperfect for anxiety and low grade pain,"anxiety, delta, dispensary, gm, grade, itbasicallydelta, low, medical, online, pain, reg, regular, reputable, research, service, strongly, suggest, syringe, thc, thci, thcperfect, use, weeddelta"
I got what I thought was a cbd pen from the vape shop and it’s actually delta 8 but it’s one of those pick your mood ones and I picked create and idk what all the hype is about but this really is diet weed. I feel stimulated don’t get me wrong but what,i got what i thought was a cbd pen from the vape shop and its actually delta  but its one of those pick your mood ones and i picked create and idk what all the hype is about but this really is diet weed i feel stimulated dont get me wrong but what,"actually, cbd, create, delta, diet, dont, feel, got, hype, idk, mood, ones, pen, pick, picked, really, shop, stimulated, thought, vape, weed, wrong"
Look into Delta 8 THC and/or making your own cannabinoid mixtures. CBN and CBG would help with anxiety without taking away from the high the way CBD does. Delta 8 is a legal form of THC that’s typically better for those with anxiety issues but less potent overall.,look into delta  thc andor making your own cannabinoid mixtures cbn and cbg would help with anxiety without taking away from the high the way cbd does delta  is a legal form of thc thats typically better for those with anxiety issues but less potent overall,"andor, anxiety, away, better, cannabinoid, cbd, cbg, cbn, delta, does, form, help, high, issues, legal, look, making, mixtures, overall, potent, taking, thats, thc, typically, way"
Where do you find Delta 8? I would like to try it,where do you find delta  i would like to try it,"delta, like, try"
Nobody told me delta 8 get you stuck. I took 45 mg and 30 mins later everything turned HD,nobody told me delta  get you stuck i took  mg and  mins later everything turned hd,"delta, hd, later, mg, mins, stuck, told, took, turned"
Delta 8 is just gentrified weed,delta  is just gentrified weed,"delta, gentrified, just, weed"
get a real edible and not that delta-8 shit lmao,get a real edible and not that delta shit lmao,"delta, edible, lmao, real, shit"
" So far, because Wisconsin stinks, I have tried Delta 8 gummies…and I found a brand strong enough, and there’s a gentle high that carries for a while but it’s questionable. Not like delta 9 that has been around for ages.", so far because wisconsin stinks i have tried delta  gummiesand i found a brand strong enough and theres a gentle high that carries for a while but its questionable not like delta  that has been around for ages,"ages, brand, carries, delta, far, gentle, gummiesand, high, like, questionable, stinks, strong, theres, tried, wisconsin"
" Alcohol help set a mood but often I just get too groggy to hold a thought cause I’m a lightweight.
For writing, I prefer weed of both the THC and CBD only varieties (also delta 8 vapes) It’s good for expansive thoughts and sensations that fuel the mind.", alcohol help set a mood but often i just get too groggy to hold a thought cause im a lightweightfor writing i prefer weed of both the thc and cbd only varieties also delta  vapes its good for expansive thoughts and sensations that fuel the mind,"alcohol, cause, cbd, delta, expansive, fuel, good, groggy, help, hold, im, just, lightweightfor, mind, mood, prefer, sensations, set, thc, thought, thoughts, vapes, varieties, weed, writing"
" Just got my delta 8 vapes Star-struck 
couldn’t be happier", just got my delta  vapes starstruck couldnt be happier,"delta, got, happier, just, starstruck, vapes"
the delta 8 hit . im in the best mood ever now .,the delta  hit  im in the best mood ever now ,"best, delta, hit, im, mood"
" I wish weed was legal in Nebraska, my only option is to go across the border to Colorado to get edibles, and I don’t trust delta 8. Ugh we just need to legalize it already", i wish weed was legal in nebraska my only option is to go across the border to colorado to get edibles and i dont trust delta  ugh we just need to legalize it already,"border, colorado, delta, dont, edibles, just, legal, legalize, nebraska, need, option, trust, ugh, weed, wish"
" One thing to avoid when looking for CBD is delta-8 CBD products and that’s only because they contain .3% THC, there’s not enough of it to be considered illegal but it will give you somewhat of a similar high", one thing to avoid when looking for cbd is delta cbd products and thats only because they contain  thc theres not enough of it to be considered illegal but it will give you somewhat of a similar high,"avoid, cbd, considered, contain, delta, high, illegal, looking, products, similar, somewhat, thats, thc, theres, thing"
The Centers for Disease Control and Prevention (CDC) and the Food and Drug Administration (FDA) recently released a warning against the safety of Delta-8-THC. Read the article:,the centers for disease control and prevention cdc and the food and drug administration fda recently released a warning against the safety of deltathc read the article,"administration, article, cdc, centers, control, deltathc, disease, drug, fda, food, prevention, read, recently, released, safety, warning"
Ok but delta 8 straight. I’m fried fr,ok but delta  straight im fried fr,"delta, fr, fried, im, ok, straight"
Delta 8 dabs give you the perfect high for if you gotta do some shit.,delta  dabs give you the perfect high for if you gotta do some shit,"dabs, delta, gotta, high, perfect, shit"
Staying home and taking delta 8 gummies tonight. This is so much better for my brain than liquor.,staying home and taking delta  gummies tonight this is so much better for my brain than liquor,"better, brain, delta, gummies, home, liquor, staying, taking, tonight"
" Wow not gonna lie these Delta 8 gummies are legit. I feel so calm , not making me anxious or have the munchies feeling. I was having high anxiety before I took them and once they kicked in my anxiety went way down. Wow incredible! #CBD #HighlyReccomend", wow not gonna lie these delta  gummies are legit i feel so calm  not making me anxious or have the munchies feeling i was having high anxiety before i took them and once they kicked in my anxiety went way down wow incredible cbd highlyreccomend,"anxiety, anxious, calm, cbd, delta, feel, feeling, gonna, gummies, having, high, highlyreccomend, incredible, kicked, legit, lie, making, munchies, took, way, went, wow"
" The Medical Case for Delta-8 THC

The growing list of medical benefits for cannabis is hard to ignore. Users and doctors alike swear by the many treatments it offers...

https://3chi.com/blog/delta-8-is-a-potential-medical-marvel?rfsn=5759637.dc7f4f", the medical case for delta thcthe growing list of medical benefits for cannabis is hard to ignore users and doctors alike swear by the many treatments it offers,"alike, benefits, cannabis, case, delta, doctors, growing, hard, ignore, list, medical, offers, swear, thcthe, treatments, users"
" I have the same back grown, only I drank beer.  I have discovered Delta 8 gummies.  I enjoy them, no booze or other drugs.", i have the same back grown only i drank beer  i have discovered delta  gummies  i enjoy them no booze or other drugs,"beer, booze, delta, discovered, drank, drugs, enjoy, grown, gummies"
I really appreciate CBD. Weed be too skrong these days giving a brotha anxiety nshit. Delta 8 is calm and right up my alley.,i really appreciate cbd weed be too skrong these days giving a brotha anxiety nshit delta  is calm and right up my alley,"alley, anxiety, appreciate, brotha, calm, cbd, days, delta, giving, nshit, really, right, skrong, weed"
Delta 8 was definitely not a disappointment,delta  was definitely not a disappointment,"definitely, delta, disappointment"
i think i overused delta 8 bc now that shit just makes me tired,i think i overused delta  bc now that shit just makes me tired,"bc, delta, just, makes, overused, shit, think, tired"
As a guy who really likes weed I still don't understand delta-8. Back in my day if we didn't get that high we just called it reggie or brick weed,as a guy who really likes weed i still dont understand delta back in my day if we didnt get that high we just called it reggie or brick weed,"brick, called, day, delta, didnt, dont, guy, high, just, likes, really, reggie, understand, weed"
TFW delta 8 hits better than delta 9,tfw delta  hits better than delta ,"better, delta, hits, tfw"
" if its delta 8, 25mgs get me there but make me tired
10mg is good for the real stuff but i can take up to 20 for a real nice time", if its delta  mgs get me there but make me tiredmg is good for the real stuff but i can take up to  for a real nice time,"delta, good, make, mgs, nice, real, stuff, time, tiredmg"
" Delta-8 THC Deep Dive > https://bit.ly/3oqPK6E

""#Delta8 #THC has been reported, through both formal research and anecdotal testimony, to deliver roughly two-thirds of the #psychoactivity of the delta-9 isomer, but without the paranoia.""", delta thc deep dive  delta thc has been reported through both formal research and anecdotal testimony to deliver roughly twothirds of the psychoactivity of the delta isomer but without the paranoia,"anecdotal, deep, deliver, delta, dive, formal, isomer, paranoia, psychoactivity, reported, research, roughly, testimony, thc, twothirds"
about to go over to my grandma’s house………. popping a delta 8 gummy before i make the journey for my own inner peace,about to go over to my grandmas house popping a delta  gummy before i make the journey for my own inner peace,"delta, grandmas, gummy, house, inner, journey, make, peace, popping"
Delta 8 is actually pretty banger,delta  is actually pretty banger,"actually, banger, delta, pretty"
" Why is Delta 8 so shitty and not worth regulating, but the same exact plant with a 4% difference in THC is?", why is delta  so shitty and not worth regulating but the same exact plant with a  difference in thc is,"delta, difference, exact, plant, regulating, shitty, thc, worth"
" yeppp, delta-8 Red vape, been enjoying this one all week ", yeppp delta red vape been enjoying this one all week ,"delta, enjoying, red, vape, week, yeppp"
yooo delta 8 edibles are no joke im still high from last night,yooo delta  edibles are no joke im still high from last night,"delta, edibles, high, im, joke, night, yooo"
" Last week had my first try.. I took about a forth of a Delta 8 gummy.. I slept for 2.5 hours
. deep sleep! ", last week had my first try i took about a forth of a delta  gummy i slept for  hours deep sleep ,"deep, delta, forth, gummy, hours, sleep, slept, took, try, week"
are we going to talk about delta 8 or…… i have so many questions and curiosities legally and chemically,are we going to talk about delta  or i have so many questions and curiosities legally and chemically,"chemically, curiosities, delta, going, legally, questions, talk"
I’m still slowly doing my research and field investigation of delta 8 but I think I may transition or alternate if I can get long term data,im still slowly doing my research and field investigation of delta  but i think i may transition or alternate if i can get long term data,"alternate, data, delta, doing, field, im, investigation, long, research, slowly, term, think, transition"
this delta 8 firee,this delta  firee,"delta, firee"
" Was addicted to Delta 8 for a couple months. I could get high whenever and even wherever I wanted. Had no self control, finally I've quit.", was addicted to delta  for a couple months i could get high whenever and even wherever i wanted had no self control finally ive quit,"addicted, control, couple, delta, finally, high, ive, months, quit, self, wanted"
If you buy delta 8 you’re an asshole,if you buy delta  youre an asshole,"asshole, buy, delta, youre"
The delta 8 cart I have right now puts me straight to sleep. Lmao ima only use that at bedtime. I slept all day.,the delta  cart i have right now puts me straight to sleep lmao ima only use that at bedtime i slept all day,"bedtime, cart, day, delta, ima, lmao, puts, right, sleep, slept, straight, use"
Thank you Pennsylvania for having delta 8. It's a legal form of THC that I can use in moderation and not have a reaction to. Two hearts FINALLY I CAN SLEEP.,thank you pennsylvania for having delta  its a legal form of thc that i can use in moderation and not have a reaction to two hearts finally i can sleep,"delta, finally, form, having, hearts, legal, moderation, pennsylvania, reaction, sleep, thank, thc, use"
trying a delta 8 gummy. this could be the new vibe? more later.,trying a delta  gummy this could be the new vibe more later,"delta, gummy, later, new, trying, vibe"
Delta-8 is just diet THC,delta is just diet thc,"delta, diet, just, thc"
" i took a quarter of a delta 8 edible and if this is what edibles are like for everyone else, i FINALLY get it", i took a quarter of a delta  edible and if this is what edibles are like for everyone else i finally get it,"delta, edible, edibles, finally, like, quarter, took"
I honestly find much more benefit from Delta-8 gummies and cartridges. But yeah CBD oil is pretty decent.,i honestly find much more benefit from delta gummies and cartridges but yeah cbd oil is pretty decent,"benefit, cartridges, cbd, decent, delta, gummies, honestly, oil, pretty, yeah"
Consider that Delta 8 is another strain of THC and it’s potency will only grow with time. So in a lot of ways weeds been legal federally since 2018 thanks to Trumps economic war with China.,consider that delta  is another strain of thc and its potency will only grow with time so in a lot of ways weeds been legal federally since  thanks to trumps economic war with china,"china, consider, delta, economic, federally, grow, legal, lot, potency, strain, thanks, thc, time, trumps, war, ways, weeds"
I’m deadass craving another delta 8 vape,im deadass craving another delta  vape,"craving, deadass, delta, im, vape"
Is going ok just got off work I’m so tired can’t wait to save up and cop some delta 8,is going ok just got off work im so tired cant wait to save up and cop some delta ,"cop, delta, going, got, im, just, ok, save, tired, wait, work"
" i was skeptical of delta-8, but this shit's great", i was skeptical of delta but this shits great,"delta, great, shits, skeptical"
" I took a 10 mg Delta 8 gummy last night and just felt so relaxed like no stress at all, but still able to function normally", i took a  mg delta  gummy last night and just felt so relaxed like no stress at all but still able to function normally,"able, delta, felt, function, gummy, just, like, mg, night, normally, relaxed, stress, took"
Delta 8 don’t do shit either go get some loud,delta  dont do shit either go get some loud,"delta, dont, loud, shit"
Delta 8 THC Is Cool..,delta  thc is cool,"cool, delta, thc"
high as hell off this 25$ gas station delta 8 cart,high as hell off this  gas station delta  cart,"cart, delta, gas, hell, high, station"
delta 8 gummies are so good,delta  gummies are so good,"delta, good, gummies"
never again am I trying delta 8 my dumbass ate a whole 1000mg edible and almost died I had to fix phones like this worst fuck up ever that’s what I get for not reading the bag,never again am i trying delta  my dumbass ate a whole mg edible and almost died i had to fix phones like this worst fuck up ever thats what i get for not reading the bag,"ate, bag, delta, died, dumbass, edible, fix, fuck, like, mg, phones, reading, thats, trying, worst"
have any of y’all tried delta 8 wtf is that,have any of yall tried delta  wtf is that,"delta, tried, wtf, yall"
Agree. Also delta-8 gummies are miraculous for pain (esp nerve pain) if you haven’t already tried this. Less loopy high too which is Thumbs up for me!,agree also delta gummies are miraculous for pain esp nerve pain if you havent already tried this less loopy high too which is thumbs up for me,"agree, delta, esp, gummies, havent, high, loopy, miraculous, nerve, pain, thumbs, tried"
took a delta 8 and instantly started sweating,took a delta  and instantly started sweating,"delta, instantly, started, sweating, took"
smoking gas this not delta 8,smoking gas this not delta ,"delta, gas, smoking"
Delta 8 is really such a blessing lol,delta  is really such a blessing lol,"blessing, delta, lol, really"
