tweet,cleaned_tweet,keywords
this delta 8 cart tastes like how a portapotty smells,this delta  cart tastes like how a portapotty smells,"cart, delta, like, portapotty, smells, tastes"
CBD helps my sore knee.  If you wanna truly sleep get you some delta 8 indica,cbd helps my sore knee  if you wanna truly sleep get you some delta  indica,"cbd, delta, helps, indica, knee, sleep, sore, truly, wanna"
So-called 'edibles' might be infused with dangerous delta-8 THC marijuana - Food Safety News,socalled edibles might be infused with dangerous delta thc marijuana  food safety news,"dangerous, delta, edibles, food, infused, marijuana, news, safety, socalled, thc"
" Delta-8 THC poisonings? The CDC’s warning isn’t what you
think.
 Calm down. You're not poisoned. You're high. This is what happens when people can't buy safe, regulated products.

  The post Delta-8 THC poisonings? The CDC&rsquo;s warning isn&rsqu https://postoplan.app/Njg2NA", delta thc poisonings the cdcs warning isnt what youthink calm down youre not poisoned youre high this is what happens when people cant buy safe regulated products  the post delta thc poisonings the cdcrsquos warning isnrsqu ,"buy, calm, cdcrsquos, cdcs, delta, happens, high, isnrsqu, isnt, people, poisoned, poisonings, post, products, regulated, safe, thc, warning, youre, youthink"
Bro I hit a joint of delta-8 and passed the fuck out like 15 minutes after smoking it,bro i hit a joint of delta and passed the fuck out like  minutes after smoking it,"bro, delta, fuck, hit, joint, like, minutes, passed, smoking"
" If any of you guys fuck with Delta-8/CBD, these are the SHIT. I have never had a product this good.", if any of you guys fuck with deltacbd these are the shit i have never had a product this good,"deltacbd, fuck, good, guys, product, shit"
Tried delta 8 yesterday it’s straight,tried delta  yesterday its straight,"delta, straight, tried, yesterday"
Delta 8 is becoming a bigger probpem,delta  is becoming a bigger probpem,"bigger, delta, probpem"
" A product can have both, but seriously the level of deceptive labeling in this product if it isn't mainly delta-8.", a product can have both but seriously the level of deceptive labeling in this product if it isnt mainly delta,"deceptive, delta, isnt, labeling, level, mainly, product, seriously"
I stopped smoking regular thc about two months ago after smoking daily 24/7. Now I smoke a delta-8 preroll like once a week and it gets me pretty high honestly but I think my tolerance definitely reset after taking a little break. Personally I really like it though,i stopped smoking regular thc about two months ago after smoking daily  now i smoke a delta preroll like once a week and it gets me pretty high honestly but i think my tolerance definitely reset after taking a little break personally i really like it though,"ago, break, daily, definitely, delta, gets, high, honestly, like, little, months, personally, preroll, pretty, really, regular, reset, smoke, smoking, stopped, taking, thc, think, tolerance, week"
" If delta-8 THC is legalized and taxed, and if it's 50% as potent as delta-9, should it be taxed at 50% of the D9 rate?

@MacRaeJames
 in WA says it's more complicated.", if delta thc is legalized and taxed and if its  as potent as delta should it be taxed at  of the d ratemacraejames in wa says its more complicated,"complicated, delta, legalized, potent, ratemacraejames, says, taxed, thc, wa"
" Delta 8 flower is a pretty nice solution I've found, would recommend. It's acquirable legally just about everywhere.", delta  flower is a pretty nice solution ive found would recommend its acquirable legally just about everywhere,"acquirable, delta, flower, ive, just, legally, nice, pretty, recommend, solution"
please dont smoke delta 8 my cousin smoked it and crashed in to the dollar general,please dont smoke delta  my cousin smoked it and crashed in to the dollar general,"cousin, crashed, delta, dollar, dont, general, smoke, smoked"
" I love THC but because I work in a pharmacy I now use CBD Delta 8 and 9 are amazing substitutes. I get the best sleep of my life. 

Most people I know who do smoke are good hardworking people", i love thc but because i work in a pharmacy i now use cbd delta  and  are amazing substitutes i get the best sleep of my life most people i know who do smoke are good hardworking people,"amazing, best, cbd, delta, good, hardworking, know, life, love, people, pharmacy, sleep, smoke, substitutes, thc, use, work"
Nigga love him some Delta 8 lol,nigga love him some delta  lol,"delta, lol, love, nigga"
Fuck them shitty booty ahh delta 8 pens,fuck them shitty booty ahh delta  pens,"ahh, booty, delta, fuck, pens, shitty"
I really underestimated this delta 8 candy,i really underestimated this delta  candy,"candy, delta, really, underestimated"
" edibles always make me sleepy, so I only try to use them when I realllyyyy can’t handle the pain. All about dabbing!!! Love Delta 8 when it comes from a trusted source. Dabs on dabs on dabs is def a go to during my period.", edibles always make me sleepy so i only try to use them when i realllyyyy cant handle the pain all about dabbing love delta  when it comes from a trusted source dabs on dabs on dabs is def a go to during my period,"comes, dabbing, dabs, def, delta, edibles, handle, love, make, pain, period, realllyyyy, sleepy, source, trusted, try, use"
delta 8 pens are SOO fuckin clutch,delta  pens are soo fuckin clutch,"clutch, delta, fuckin, pens, soo"
yo why this delta 8 mod giving my lungs rug burn,yo why this delta  mod giving my lungs rug burn,"burn, delta, giving, lungs, mod, rug, yo"
Try some delta 8 edibles or vape pen. Legal in most states and a very mild buzz. It will cause a positive piss test but it’s a great way to experience the relaxing properties of thc,try some delta  edibles or vape pen legal in most states and a very mild buzz it will cause a positive piss test but its a great way to experience the relaxing properties of thc,"buzz, cause, delta, edibles, experience, great, legal, mild, pen, piss, positive, properties, relaxing, states, test, thc, try, vape, way"
" Yeah man, Delta 8 is a good between place.", yeah man delta  is a good between place,"delta, good, man, place, yeah"
If EB needs to sleep he should seriously check out a Delta 8 Indica gummy (which is legal).,if eb needs to sleep he should seriously check out a delta  indica gummy which is legal,"check, delta, eb, gummy, indica, legal, needs, seriously, sleep"
" I'm feeling so much better on biologics,  and the Delta 8 has helped so much", im feeling so much better on biologics  and the delta  has helped so much,"better, biologics, delta, feeling, helped, im"
I love my delta 8 vape pen a lot,i love my delta  vape pen a lot,"delta, lot, love, pen, vape"
