date,tweet,cleaned_tweet,keywords,polarity,subjectivity
Aug 18,"I think it's Illegal in Iowa, but only because they banned almost every kind of weed adjacent product after some kid killed himself after taking some K2. CBD JUST got legalized this summer. I would love it if Delta 8 was available here.",i think its illegal in iowa but only because they banned almost every kind of weed adjacent product after some kid killed himself after taking some k cbd just got legalized this summer i would love it if delta  was available here,"adjacent, available, banned, cbd, delta, got, illegal, iowa, just, kid, killed, kind, legalized, love, product, summer, taking, think, weed",0.13333333333333333,0.5666666666666667
Aug 19,Don’t sleep on the delta 8 gummies... iykyk,dont sleep on the delta  gummies iykyk,"delta, dont, gummies, iykyk, sleep",0.0,0.0
Aug 19,All we’re allowed to have in Bama is delta 8 bro! It sucks but I’ll take what I can get. Legalization is coming!!,all were allowed to have in bama is delta  bro it sucks but ill take what i can get legalization is coming,"allowed, bama, bro, coming, delta, ill, legalization, sucks",-0.4,0.65
Aug 19,"It's a fad derivative made from hemp isolate. Delta 8, Delta 10, and THC-0, and HHC are dangerous synthetics with no regulation. They are processed with harsh chemicals and acids. I'll keep to whole plant, and the entourage effect.",its a fad derivative made from hemp isolate delta  delta  and thc and hhc are dangerous synthetics with no regulation they are processed with harsh chemicals and acids ill keep to whole plant and the entourage effect,"acids, chemicals, dangerous, delta, derivative, effect, entourage, fad, harsh, hemp, hhc, ill, isolate, plant, processed, regulation, synthetics, thc",-0.275,0.75
Aug 19,"lmaooo fr, delta 8 and 10 both fire",lmaooo fr delta  and  both fire,"delta, fr, lmaooo",0.0,0.0
Aug 19,I tested Delta-8 thc .. it is not a jokeeee!,i tested delta thc  it is not a jokeeee,"delta, jokeeee, tested, thc",0.0,0.0
Aug 19,"Tried Delta 8 for the first time the other day, its a bit different. Soon we will have the Delta 9 on the shelves. #Newyork",tried delta  for the first time the other day its a bit different soon we will have the delta  on the shelves newyork,"bit, day, delta, different, newyork, shelves, soon, time, tried",0.041666666666666664,0.43611111111111106
Aug 19,Yea honestly I quit smoking and moved on to delta 8 stuff way different great high,yea honestly i quit smoking and moved on to delta  stuff way different great high,"delta, different, great, high, honestly, moved, quit, smoking, stuff, way, yea",0.38999999999999996,0.6975
Aug 19,My kids dad was injured in a shooting and delta 8 is helping with the ptsd. I wasn't a believer until now.,my kids dad was injured in a shooting and delta  is helping with the ptsd i wasnt a believer until now,"believer, dad, delta, helping, injured, kids, ptsd, shooting, wasnt",0.0,0.0
Aug 19,It's not for everyone. I take it you can't appreciate the one tiny difference of Delta 9 THC from Delta 8 THC Smiling face Many people who can't smoke marijuana can consume Delta 8. It's like half the strength of Delta 9. Did you read the article? Because you would know that if you did,its not for everyone i take it you cant appreciate the one tiny difference of delta  thc from delta  thc smiling face many people who cant smoke marijuana can consume delta  its like half the strength of delta  did you read the article because you would know that if you did,"appreciate, article, consume, delta, did, difference, face, half, know, like, marijuana, people, read, smiling, smoke, strength, thc, tiny",0.11111111111111112,0.3888888888888889
Aug 19,"These delta 8 gummies are a game changer. We’ve been weening off of the kratom (we replaced pain medication with) by using the gummies. Granted we can only take, like, 1/16th of one unless we wanna go to the moon.",these delta  gummies are a game changer weve been weening off of the kratom we replaced pain medication with by using the gummies granted we can only take like th of one unless we wanna go to the moon,"changer, delta, game, granted, gummies, kratom, like, medication, moon, pain, replaced, th, unless, using, wanna, weening, weve",-0.2,0.7
Aug 20,Delta 8 gummies had me off my ass last night,delta  gummies had me off my ass last night,"ass, delta, gummies, night",0.0,0.06666666666666667
Aug 20,But she found a vape not a flash drive? Delta 8 is unregulated diet weed basically.,but she found a vape not a flash drive delta  is unregulated diet weed basically,"basically, delta, diet, drive, flash, unregulated, vape, weed",0.0,0.0
Aug 20,"It’s not really a strain though. “Regular” cannabis is delta 9. Delta 8 is like diet weed. Illegal in some states, barely legal in others. It’s unregulated. Stick to the delta 9 lol.",its not really a strain though regular cannabis is delta  delta  is like diet weed illegal in some states barely legal in others its unregulated stick to the delta  lol,"barely, cannabis, delta, diet, illegal, legal, like, lol, really, regular, states, stick, strain, unregulated, weed",0.08000000000000002,0.3353846153846154
